price,address,date_sold,bedroom,bathroom,carport,dwelling
465000,41/273 Beaufort Street,2019-01-15,2,2,1,Apartment
210000,13/300 Stirling Street,2019-01-14,1,1,1,Unit
276500,Unit 8/300 Stirling Street,2019-01-14,3,1,1,Unit
290000,33/150 Stirling Street,2019-01-11,1,1,1,Apartment
177000,11/290 Stirling  Street,2019-01-09,1,1,1,Unit
400000,55/375 Hay Street,2019-01-03,2,2,1,Apartment
175000,208/130A Mounts Bay Road,2019-01-03,1,1,0,Apartment
560000,1203/105 Stirling Street,2018-12-24,2,2,1,Apartment
599000,908/105 Stirling Street,2018-12-24,2,2,2,Apartment
462000,60/99 Palmerston Street,2018-12-21,3,2,2,Apartment
185000,10/122 Terrace Road,2018-12-17,1,1,1,Unit
500000,6/918 Hay Street,2018-12-15,2,2,1,Apartment
500000,108/75-99 Palmerston Street,2018-12-13,3,2,1,Apartment
500000,91/75-99 Palmerston Street,2018-12-13,3,2,1,Apartment
451000,121/75-99 Palmerston Street,2018-12-11,3,2,1,Apartment
380000,23/20 Pendal Lane,2018-12-10,2,2,1,Apartment
385000,4/315 Bulwer Street,2018-12-10,2,1,2,Apartment
175000,37/122 Terrace Road,2018-12-07,1,1,0,Unit
409000,66/250 Beaufort Street,2018-12-05,2,2,1,Apartment
670000,4C Stuart Street,2018-12-03,3,1,1,Townhouse
413000,40/76 Newcastle ,2018-12-02,2,2,2,Apartment
295000,107/15 Aberdeen Street,2018-12-01,1,1,1,Unit
3000000,2801/237 Adelaide Terrace,2018-11-30,4,4,4,Apartment
203000,116/15 Aberdeen Street,2018-11-29,1,1,1,Apartment
405000,Apt 1304 / 600 Wellington Street,2018-11-28,1,1,0,Apartment
590000,89 Lindsay Street,2018-11-26,3,1,0,House
430000,24/75-99 Palmerston Street,2018-11-26,3,2,1,Apartment
447500,39/75-99 Palmerston Street,2018-11-26,3,2,1,Apartment
315000,9/87 Bulwer Street,2018-11-26,1,1,1,House
400000,213/126-128 Mounts Bay Rd,2018-11-22,2,1,1,Apartment
950000,117A Summers Street,2018-11-16,4,3,2,House
315000,12/60 Newcastle Street,2018-11-15,1,1,1,Apartment
234500,8/15 Aberdeen Street,2018-11-13,2,1,1,Apartment
910000,24 Myrtle Street,2018-11-12,3,1,0,House
540000,9 Myrtle Street,2018-11-12,3,1,0,House
770000,115A Summers Street,2018-11-11,3,2,2,House
339000,726/305 Murray Street,2018-11-08,1,1,0,Apartment
849000,114 Bulwer Street,2018-11-01,4,2,0,House
337500,50/99 Palmerston Street,2018-10-31,1,1,1,Apartment
359000,9/474 Murray Street,2018-10-31,1,1,1,Apartment
765000,1 Baker Avenue,2018-10-30,3,1,2,House
498000,Apt 2905 / 600 Wellington Street,2018-10-30,1,1,1,Apartment
560000,194/369 Hay Street,2018-10-29,3,2,2,Apartment
395000,29/59 Brewer Street,2018-10-29,2,2,1,Apartment
275000,V705/9 Victoria Avenue,2018-10-25,1,1,1,Apartment
290000,3i/811 Hay Street,2018-10-24,2,1,0,Apartment
800000,223 Lake Street,2018-10-24,2,1,1,House
310000,5/229 Adelaide Terrace,2018-10-24,1,1,1,Apartment
388000,5/69 Milligan Street,2018-10-23,2,2,1,Apartment
268500,311/112 Mounts Bay Road,2018-10-23,2,1,0,Apartment
